,created_at,user,user_followers_count,text,lang,Location,retweet_count,favorite_count
96,2016-07-08 08:45:04,big_data_flow,940,RT @PythonWeekly: Python Weekly - Issue 251 https://t.co/6xVVkE0c7P #python #django #pandas #tensorflow #machine #learning #data #science #…,en,,11,0
97,2016-07-08 08:44:23,JoshGHughes,397,RT @Bots_news: #AI: Google just upped the ante in the machine-learning game by purchasing Moodstocks #Mach… https://t.co/yQAF3cpR9N https:/…,en,,3,0
98,2016-07-08 08:44:04,ITConsultancy1,1540,RT @cloud_comp_news: Our most popular story this week: 10 ways machine learning is revolutionising manufacturing https://t.co/gLjko9av0L ht…,en,,3,0
99,2016-07-08 08:43:10,pllnrds,1108,Smartphone health data slammed as 'voodoo machine learning' | https://t.co/eGTwRD3RWM https://t.co/prYr1htVcy,en,,1,1
100,2016-07-08 08:42:25,DjangoGirlsDUB,112,RT @PythonWeekly: Python Weekly - Issue 251 https://t.co/6xVVkE0c7P #python #django #pandas #tensorflow #machine #learning #data #science #…,en,,11,0
101,2016-07-08 08:42:19,CodingGrace,1544,RT @PythonWeekly: Python Weekly - Issue 251 https://t.co/6xVVkE0c7P #python #django #pandas #tensorflow #machine #learning #data #science #…,en,,11,0
102,2016-07-08 08:42:14,PyLadiesDub,468,RT @PythonWeekly: Python Weekly - Issue 251 https://t.co/6xVVkE0c7P #python #django #pandas #tensorflow #machine #learning #data #science #…,en,,11,0
103,2016-07-08 08:40:44,Transcurve,186,Google Buys Machine Learning Startup Moodstocks https://t.co/9fb01njP1u,en,,0,0
104,2016-07-08 08:40:30,GabHeraldico,473,"RT @swilliams918: eHarmony is looking for: Senior Machine Learning Engineer
https://t.co/w5ZA2UfnkT #job",en,,3,0
105,2016-07-08 08:40:02,theme_fit,628,IDG Contributor Network: The machine learning problem of the next decade - https://t.co/7ojapj72Ux,en,,0,0
106,2016-07-08 08:40:02,ChronicFarting,219,"KDnuggets™ News 16:n17, May 11: Machine Learning Algorithms From Scratch; Chronic Farting Leaders on LinkedIn; Fart Science Career …",en,,0,0
107,2016-07-08 08:39:27,ntjohnston,2200,#extrasense Google ups the stakes in visual search via Moodstock purchase https://t.co/WTzi847r0v via @VentureBeat,en,,0,1
108,2016-07-08 08:39:13,bgmahesh,13283,Exploiting #machineLearning in cybersecurity https://t.co/6ICaYOsFxS @bendee983) @techcrunch https://t.co/DkIXNNrQzZ,en,,0,1
109,2016-07-08 08:38:35,shakamunyi,2840,"RT @benakiva: Model evaluation, model selection, and algorithm selection in machine learning - Part I https://t.co/iStN0GEB01 #machinelearn…",en,,1,0
110,2016-07-08 08:38:35,shakamunyi,2840,"RT @MattDExperis: #MachineLearning is all the rage with #BigData developers
https://t.co/osLX1uttHg https://t.co/huTxtDSL8K",en,,2,0
111,2016-07-08 08:38:34,shakamunyi,2840,"RT @flamup24: This Week in Machine Learning, 8 July 2016 #MachineLearning... https://t.co/eykzw1stiQ",en,,6,0
112,2016-07-08 08:38:27,Bots_news,703,"#AI: @freyduni: Google buys French startup to improve video, photo experience through machine learning https://t.co/uB2G1fbFqp... #ML http:…",en,,0,1
113,2016-07-08 08:37:54,CyberMartina,477,Key trends in machine learning and AI https://t.co/JHcKWJkzFA via @techcrunch,en,,0,0
114,2016-07-08 08:37:53,technalia,686,Boosting sales with Machine Learning: https://t.co/T25p7AN43K,en,,0,0
115,2016-07-08 08:37:03,research_innova,2535,"RT @jcampsays: Excellent, non-technical explainer on what machine learning is, and what it can do. https://t.co/5RtjPZGCm0 https://t.co/0C1…",en,,5,0
116,2016-07-08 08:36:25,LesagePy,27,Taking a look at what #MachineLearning can do. https://t.co/IFez0pIrkg https://t.co/ABQT4gwNIk,en,,0,1
117,2016-07-08 08:36:00,elasticjava,1159,RT @deeplearning4j: How to Get Started with Java Machine Learning https://t.co/zDu67WhA42 via @takipid #deeplearning #machinelearning #java…,en,,1,0
118,2016-07-08 08:35:24,DamianoMe,3152,RT @RamieSays: the power of machine learning https://t.co/vtQMDFkgts,en,,1,0
119,2016-07-08 08:34:54,DamianoMe,3152,RT @IVDiagnostics: Quantgene Achieves Breakthrough in Liquid Biopsy Early Cancer Detection by Combining Machine Learning with Next... https…,en,,1,0
120,2016-07-08 08:34:49,HAL_9000_AI,1429,RT @Bots_news: #AI: Google just upped the ante in the machine-learning game by purchasing Moodstocks #Mach… https://t.co/yQAF3cpR9N https:/…,en,,3,0
121,2016-07-08 08:34:19,DamianoMe,3152,RT @Bots_news: #AI: Google just upped the ante in the machine-learning game by purchasing Moodstocks #Mach… https://t.co/yQAF3cpR9N https:/…,en,,3,0
122,2016-07-08 08:34:13,JuanLGonzalezM,702,"RT @zeuslopez: https://t.co/TR5OfUCERR is hiring a Data Scientist - Machine Learning https://t.co/OF89ttna0l in Amsterdam, Netherlands - RT…",en,,2,0
123,2016-07-08 08:33:32,skynet_io,202,#AI: Can AI and machine learning transform the entertainment industry? #machinelearning https://t.co/PqEwjgNagf https://t.co/n38z3WDm3a,en,,0,0
124,2016-07-08 08:33:25,BatishPooja,5,"Machine learning is making self-driving cars smarter, but it can also make their workings more mysterious https://t.co/oFGknm4ZTC",en,,0,0
125,2016-07-08 08:33:25,skynet_io,202,#AI: Use Apache Spark? This tool can help you tap machine learning #DataScience https://t.co/bhfFepOYp5 https://t.co/25V2rANwa4,en,,0,1
126,2016-07-08 08:33:21,skynet_io,202,#AI: Google just upped the ante in the machine-learning game by purchasing Moodstocks #Mach… … https://t.co/4abAD1eiEk,en,,0,0
127,2016-07-08 08:33:05,RamieSays,930,the power of machine learning https://t.co/vtQMDFkgts,en,,1,0
128,2016-07-08 08:33:04,draftcn4pres,1191,"RT @flamup24: This Week in Machine Learning, 8 July 2016 #MachineLearning... https://t.co/eykzw1stiQ",en,,6,0
129,2016-07-08 08:32:53,vangjee,95,"""Machine learning is all the rage with Big Data developers"" https://t.co/0kR3Pl8EeW #bigdata #feedly",en,,0,0
